margROSY,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.97239263803681
CRS,50,0,1
ERK,323,0,0.869969040247678
MNT,108,0,1
MRO,138,321,0.978260869565217
OSF,29,0,0.689655172413793
HKL,110,321,0.990909090909091
NET,6,0,1
TWL,867,0,0.928489042675894
1978,124,0,1
1979,102,0,1
1980,271,60,0.996309963099631
1981,237,136,0.970464135021097
1982,249,125,0.779116465863454
Q1,162,125,0.962962962962963
Q2,289,0,1
Q3,340,60,0.832352941176471
Q4,192,136,1
