margKLPG,n,landing,coverage
BRG,6,0,1
MNT,88,337,0.568181818181818
MRO,64,0,0.25
OSF,52,0,0.692307692307692
HKL,1,0,1
NET,8,337,0
TWL,201,0,0.532338308457711
1978,57,337,0.56140350877193
1980,61,0,0.573770491803279
1981,42,0,0.19047619047619
1982,50,0,0.66
Q1,43,0,0.418604651162791
Q2,73,337,0.63013698630137
Q3,54,0,0.537037037037037
Q4,40,0,0.375
