margMXRF,n,landing,coverage
BDG,9,0,1
BRG,326,15828,0.420245398773006
CRS,50,0,0.36
ERK,323,0,0.157894736842105
MNT,108,0,0.305555555555556
MRO,138,0,0.384057971014493
OSF,29,0,0.482758620689655
HKL,110,0,0.354545454545455
NET,6,0,0.166666666666667
TWL,867,15828,0.317185697808535
1978,124,0,0.153225806451613
1979,102,0,0.666666666666667
1980,271,15828,0.446494464944649
1981,237,0,0.177215189873418
1982,249,0,0.261044176706827
Q1,162,0,0.141975308641975
Q2,289,6676,0.43598615916955
Q3,340,9152,0.305882352941176
Q4,192,0,0.322916666666667
