"marginalGBLC","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.147727272727273
"MRO",64,15254,0.359375
"OSF",52,0,0.307692307692308
"HKL",1,0,1
"NET",8,0,0.25
"TWL",201,15254,0.243781094527363
"1978",57,0,0.192982456140351
"1980",61,4068,0.295081967213115
"1981",42,8019,0.261904761904762
"1982",50,3167,0.24
"Q1",43,3167,0.27906976744186
"Q2",73,0,0.136986301369863
"Q3",54,0,0.314814814814815
"Q4",40,12087,0.325
