"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.555555555555556
"BRG",326,0,0.263803680981595
"CRS",50,0,0.34
"ERK",323,0,0.256965944272446
"MNT",108,0,0.148148148148148
"MRO",138,0,0.217391304347826
"OSF",29,0,0.310344827586207
"HKL",110,0,0.281818181818182
"NET",6,0,1
"TWL",867,2766,0.241061130334487
"1978",124,0,0.354838709677419
"1979",102,0,0.215686274509804
"1980",271,0,0.199261992619926
"1981",237,2766,0.118143459915612
"1982",249,0,0.393574297188755
"Q1",162,0,0.259259259259259
"Q2",289,0,0.349480968858132
"Q3",340,0,0.191176470588235
"Q4",192,2766,0.197916666666667
