margLSPN,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,432,0.414110429447853
CRS,50,0,0.26
ERK,323,0,0.529411764705882
MNT,108,0,0.148148148148148
MRO,138,0,0.427536231884058
OSF,29,0,0.344827586206897
HKL,110,0,0.354545454545455
NET,6,0,0
TWL,867,432,0.42560553633218
1978,124,163,0.0483870967741935
1979,102,0,0.676470588235294
1980,271,269,0.387453874538745
1981,237,0,0.20253164556962
1982,249,0,0.72289156626506
Q1,162,0,0.333333333333333
Q2,289,0,0.460207612456747
Q3,340,269,0.367647058823529
Q4,192,163,0.5
