"marginalSHRP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,3698,0.99079754601227
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,0,0.990740740740741
"MRO",138,0,0.876811594202899
"OSF",29,0,0.827586206896552
"HKL",110,0,0.927272727272727
"NET",6,0,1
"TWL",867,3698,0.97923875432526
"1978",124,0,1
"1979",102,3698,0.911764705882353
"1980",271,0,0.96309963099631
"1981",237,0,0.978902953586498
"1982",249,0,0.991967871485944
"Q1",162,0,0.993827160493827
"Q2",289,0,0.965397923875433
"Q3",340,1139,0.958823529411765
"Q4",192,2559,0.994791666666667
