"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,3698,0.374233128834356
"CRS",50,0,0.22
"ERK",323,0,0.306501547987616
"MNT",108,0,0.601851851851852
"MRO",138,0,0.333333333333333
"OSF",29,0,0.241379310344828
"HKL",110,0,0.318181818181818
"NET",6,0,0.166666666666667
"TWL",867,3698,0.366782006920415
"1978",124,0,0.25
"1979",102,3698,0.147058823529412
"1980",271,0,0.339483394833948
"1981",237,0,0.417721518987342
"1982",249,0,0.469879518072289
"Q1",162,0,0.518518518518518
"Q2",289,0,0.463667820069204
"Q3",340,1139,0.220588235294118
"Q4",192,2559,0.317708333333333
