margCNRY,n,landing,coverage
BDG,27,0,0.925925925925926
BRG,12,0,0.833333333333333
CRS,3,6334,0.666666666666667
ERK,55,761,0.781818181818182
MNT,11,0,1
MRO,1,0,1
OSF,20,0,1
TWL,129,7095,0.868217054263566
1981,37,0,1
1982,92,7095,0.815217391304348
Q1,33,761,0.636363636363636
Q2,13,0,1
Q3,37,6334,0.972972972972973
Q4,46,0,0.91304347826087
