margSWSP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.95398773006135
CRS,50,0,0.86
ERK,323,0,0.888544891640867
MNT,108,0,0.990740740740741
MRO,138,0,0.963768115942029
OSF,29,0,0.931034482758621
HKL,110,0,0.972727272727273
NET,6,0,0.833333333333333
TWL,867,0,0.928489042675894
1978,124,0,0.887096774193548
1979,102,0,0.990196078431373
1980,271,0,1
1981,237,0,0.983122362869198
1982,249,0,0.811244979919679
Q1,162,0,0.993827160493827
Q2,289,0,0.944636678200692
Q3,340,0,0.970588235294118
Q4,192,0,0.796875
