margWDOW,n,landing,coverage
BDG,42,5674811,0.0714285714285714
BRG,38,680027,0
CRS,17,3357246,0.0588235294117647
ERK,133,3548391,0.135338345864662
MNT,13,212927,0.153846153846154
MRO,6,154639,0.166666666666667
OSF,22,1017444,0.0909090909090909
TWL,271,14645485,0.0996309963099631
1981,37,331497,0.027027027027027
1982,92,5653794,0.108695652173913
1983,73,6074447,0.136986301369863
1984,69,2585747,0.0869565217391304
Q1,73,3747552,0.123287671232877
Q2,59,3412969,0.101694915254237
Q3,78,6071634,0.102564102564103
Q4,61,1413330,0.0655737704918033
