margQLBK,n,landing,coverage
BDG,12,0,0.333333333333333
BRG,401,232,0.0374064837905237
CRS,60,0,0.0833333333333333
ERK,459,0,0.259259259259259
MNT,163,0,0.165644171779141
MRO,164,0,0.189024390243902
OSF,36,0,0.444444444444444
HKL,124,0,0.241935483870968
NET,14,0,0.0714285714285714
TWL,1157,232,0.16076058772688
1978,124,232,0.137096774193548
1979,102,0,0.352941176470588
1980,271,0,0.173431734317343
1981,237,0,0.122362869198312
1982,249,0,0.176706827309237
1983,312,0,0.141025641025641
Q1,228,232,0.236842105263158
Q2,390,0,0.215384615384615
Q3,437,0,0.0938215102974828
Q4,240,0,0.158333333333333
