margBCAC,n,landing,coverage
BDG,4,193333,1
BRG,6,172242,0.833333333333333
MNT,95,4346531,0.947368421052632
MRO,66,2762454,0.757575757575758
OSF,63,3176702,0.857142857142857
HKL,1,0,1
NET,8,145083,0.875
TWL,225,10506179,0.866666666666667
1978,57,1853861,0.964912280701754
1980,61,4271945,0.852459016393443
1981,42,2050399,0.761904761904762
1982,50,1990221,0.92
1983,18,309478,0.722222222222222
1984,6,175358,0.833333333333333
Q1,51,2146936,0.96078431372549
Q2,79,3948076,0.860759493670886
Q3,59,2789724,0.813559322033898
Q4,45,1766526,0.844444444444444
