margBCAC,n,landing,coverage
BDG,4,193333,1
BRG,6,172242,0.666666666666667
MNT,95,4346531,0.694736842105263
MRO,66,2762454,0.575757575757576
OSF,63,3176702,0.650793650793651
HKL,1,0,1
NET,8,145083,0.625
TWL,225,10506179,0.653333333333333
1978,57,1853861,0.771929824561403
1980,61,4271945,0.622950819672131
1981,42,2050399,0.5
1982,50,1990221,0.76
1983,18,309478,0.444444444444444
1984,6,175358,0.666666666666667
Q1,51,2146936,0.784313725490196
Q2,79,3948076,0.582278481012658
Q3,59,2789724,0.711864406779661
Q4,45,1766526,0.555555555555556
