margKLPG,n,landing,coverage
BRG,6,0,0.833333333333333
MNT,88,337,0.625
MRO,64,0,0.28125
OSF,52,0,0.25
HKL,1,0,1
NET,8,337,0.625
TWL,201,0,0.422885572139304
1978,57,337,0.578947368421053
1980,61,0,0.245901639344262
1981,42,0,0.357142857142857
1982,50,0,0.56
Q1,43,0,0.674418604651163
Q2,73,337,0.383561643835616
Q3,54,0,0.5
Q4,40,0,0.175
