"marginalURCK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.794478527607362
"CRS",50,44,0.94
"ERK",323,0,0.934984520123839
"MNT",108,0,0.907407407407407
"MRO",138,0,0.942028985507246
"OSF",29,0,0.931034482758621
"HKL",110,0,0.954545454545455
"NET",6,0,1
"TWL",867,44,0.877739331026528
"1978",124,0,0.991935483870968
"1979",102,0,0.990196078431373
"1980",271,44,0.81549815498155
"1981",237,0,0.805907172995781
"1982",249,0,0.947791164658635
"Q1",162,0,0.87037037037037
"Q2",289,0,0.948096885813149
"Q3",340,44,0.794117647058823
"Q4",192,0,0.973958333333333
