"marginalSLGR","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.251533742331288
"CRS",50,0,0.04
"ERK",323,1894,0.448916408668731
"MNT",108,0,0.398148148148148
"MRO",138,0,0.521739130434783
"OSF",29,0,0.482758620689655
"HKL",110,0,0.545454545454545
"NET",6,0,0.333333333333333
"TWL",867,1894,0.341407151095732
"1978",124,0,0.153225806451613
"1979",102,1894,0.323529411764706
"1980",271,0,0.439114391143911
"1981",237,0,0.50210970464135
"1982",249,0,0.273092369477912
"Q1",162,1894,0.277777777777778
"Q2",289,0,0.43598615916955
"Q3",340,0,0.305882352941176
"Q4",192,0,0.432291666666667
