Item,Base Clock,Threads/Unit,Cost/Unit,Units,Threads,Cost,Clock,Budget:,23500,foo,foo
R530;2x2683v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.1,64,7857.21,0,0,0,0,,,2,
R530;2x2650v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.2,48,6519.59,0,0,0,0,,,,
R530;2x2650Lv4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,1.7,56,6886.78,0,0,0,0,,1,1,
R530;2x2630v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.4,32,5680.29,0,0,0,0,,,,
,,,,,0,0,0,,,,
,,,,,0,0,0,,,,
R730;2x2670v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.3,48,8617,,0,0,0,,,,
R730;2x2680v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.5,48,8920.61,,0,0,0,,,,
R730;2x2699v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.3,72,14121.06,,0,0,0,,,,
R730;2x2640v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.4,40,7468.71,,0,0,0,,,,
R730;2x2667v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,3.2,32,9620.16,,0,0,0,,,,
R730;2x2680v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.4,56,8986.61,,0,0,0,,,,
R730;2x2637v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,3.5,16,7666.7,,0,0,0,,,,
R730;2x2698v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.2,80,12405.17,,0,0,0,,,,
R730;2x2699v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.2,88,14292.65,1,88,14292.65,193.6,,,,
R730;2x2643v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,3.4,24,8762.22,,0,0,0,,,,
R730;2x2690v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.6,56,9646.56,,0,0,0,,,,
R730;2x2697Av4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.6,64,11428.44,,0,0,0,,,,
R730;2x2697v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.3,72,11019.27,,0,0,0,,,,
R730;2x2687v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,3,48,9567.37,,0,0,0,,,,
R730;2x2689v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,3.1,40,11402.04,,0,0,0,,,,
R730;2x2643v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,3.4,24,8696.23,,0,0,0,,,,
R730;2x2660v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.6,40,8234.26,,0,0,0,,,,
,,,,,0,0,0,,,,
R730xd;2x2680v4;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.5,48,9653.48,,0,0,0,,,,
,,,,,0,0,0,,,,
R630;2x2680v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.5,48,9184.56,,0,0,0,,,,
,,,,,0,0,0,,,,
M630;2x2680v3;4x32DIMM;1x2TB_NLSAS;10GbLowProfile;RedHat;,2.5,48,8311.07,,0,0,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,168,184,184,168
,,,,,,,,2.2,1.948,1.978,2.4
,,,,,,,,369.6,358.432,363.952,403.2
