margVRML,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,0,1
MRO,66,56066,0.96969696969697
OSF,63,21191,0.968253968253968
HKL,1,9249,0
NET,8,0,1
TWL,225,68008,0.986666666666667
1978,57,0,1
1980,61,77257,0.934426229508197
1981,42,0,1
1982,50,0,1
1983,18,0,1
1984,6,0,1
Q1,51,18759,0.96078431372549
Q2,79,46817,0.987341772151899
Q3,59,11681,0.983050847457627
Q4,45,0,1
