margTIGR,n,landing,coverage
BDG,9,2766,0.444444444444444
BRG,326,0,0.441717791411043
CRS,50,0,0.54
ERK,323,0,0.442724458204334
MNT,108,0,0.175925925925926
MRO,138,0,0.297101449275362
OSF,29,0,0.241379310344828
HKL,110,0,0.3
NET,6,0,0.166666666666667
TWL,867,2766,0.404844290657439
1978,124,0,0.612903225806452
1979,102,0,0.333333333333333
1980,271,0,0.394833948339483
1981,237,2766,0.291139240506329
1982,249,0,0.397590361445783
Q1,162,0,0.290123456790123
Q2,289,0,0.228373702422145
Q3,340,0,0.617647058823529
Q4,192,2766,0.322916666666667
