margURCK,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.852760736196319
CRS,50,44,0.98
ERK,323,0,0.987616099071207
MNT,108,0,0.851851851851852
MRO,138,0,0.905797101449275
OSF,29,0,1
HKL,110,0,0.881818181818182
NET,6,0,0.833333333333333
TWL,867,44,0.920415224913495
1978,124,0,0.733870967741935
1979,102,0,0.941176470588235
1980,271,44,0.863468634686347
1981,237,0,1
1982,249,0,0.971887550200803
Q1,162,0,0.962962962962963
Q2,289,0,0.948096885813149
Q3,340,44,0.914705882352941
Q4,192,0,0.828125
