margSNOS,n,landing,coverage
BDG,12,0,1
BRG,401,298242,0.86783042394015
CRS,60,135352,0.783333333333333
ERK,459,68120,0.910675381263617
MNT,163,135949,0.822085889570552
MRO,164,174307,0.926829268292683
OSF,36,197641,0.833333333333333
HKL,124,0,1
NET,14,0,1
TWL,1157,1009611,0.866897147796024
1978,124,3677,0.943548387096774
1979,102,19016,0.980392156862745
1980,271,223827,0.922509225092251
1981,237,308301,0.856540084388186
1982,249,208910,0.883534136546185
1983,312,245880,0.80448717948718
Q1,228,295475,0.837719298245614
Q2,390,233201,0.894871794871795
Q3,437,390787,0.903890160183066
Q4,240,90148,0.858333333333333
