"marginalREX","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.849693251533742
"CRS",50,0,0.98
"ERK",323,0,0.678018575851393
"MNT",108,0,0.814814814814815
"MRO",138,0,0.710144927536232
"OSF",29,3731,0.793103448275862
"HKL",110,0,0.909090909090909
"NET",6,0,0
"TWL",867,3731,0.763552479815456
"1978",124,0,0.967741935483871
"1979",102,0,0.833333333333333
"1980",271,0,0.571955719557196
"1981",237,0,0.864978902953586
"1982",249,3731,0.791164658634538
"Q1",162,0,0.95679012345679
"Q2",289,3731,0.698961937716263
"Q3",340,0,0.814705882352941
"Q4",192,0,0.666666666666667
