margFLAG,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,4,0.989130434782609
MRO,66,0,1
OSF,63,20292,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,219,20296,0.990867579908676
1978,57,0,1
1980,61,0,1
1981,42,0,1
1982,50,20292,0.98
1983,18,4,0.944444444444444
Q1,45,0,1
Q2,79,0,1
Q3,59,20296,0.966101694915254
Q4,45,0,1
