"marginalSABL","n","landing","coverage"
"BRG",6,0,0.333333333333333
"MNT",88,4753,0.386363636363636
"MRO",64,0,0.359375
"OSF",52,0,0.519230769230769
"HKL",1,0,0
"NET",8,0,0.75
"TWL",201,4753,0.398009950248756
"1978",57,4753,0.56140350877193
"1980",61,0,0.540983606557377
"1981",42,0,0.238095238095238
"1982",50,0,0.22
"Q1",43,4753,0.558139534883721
"Q2",73,0,0.397260273972603
"Q3",54,0,0.444444444444444
"Q4",40,0,0.225
