"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,1535,0.245398773006135
"CRS",50,0,0.36
"ERK",323,0,0.204334365325077
"MNT",108,0,0.175925925925926
"MRO",138,0,0.391304347826087
"OSF",29,0,0.310344827586207
"HKL",110,0,0.290909090909091
"NET",6,0,0
"TWL",867,1535,0.251441753171857
"1978",124,0,0.379032258064516
"1979",102,1535,0.372549019607843
"1980",271,0,0.280442804428044
"1981",237,0,0.236286919831224
"1982",249,0,0.132530120481928
"Q1",162,0,0.253086419753086
"Q2",289,0,0.339100346020761
"Q3",340,0,0.279411764705882
"Q4",192,1535,0.0833333333333333
