"marginalREYE","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.349693251533742
"CRS",50,0,0.22
"ERK",323,0,0.39938080495356
"MNT",108,0,0.287037037037037
"MRO",138,0,0.318840579710145
"OSF",29,0,0.551724137931034
"HKL",110,0,0.281818181818182
"NET",6,0,0.5
"TWL",867,0,0.367935409457901
"1978",124,0,0.17741935483871
"1979",102,0,0.225490196078431
"1980",271,0,0.457564575645756
"1981",237,0,0.481012658227848
"1982",249,0,0.281124497991968
"Q1",162,0,0.425925925925926
"Q2",289,0,0.335640138408304
"Q3",340,0,0.379411764705882
"Q4",192,0,0.302083333333333
