"marginalGBLC","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,0,0.431818181818182
"MRO",64,15254,0.796875
"OSF",52,0,0.442307692307692
"HKL",1,0,1
"NET",8,0,1
"TWL",201,15254,0.537313432835821
"1978",57,0,0.578947368421053
"1980",61,4068,0.590163934426229
"1981",42,8019,0.547619047619048
"1982",50,3167,0.5
"Q1",43,3167,0.767441860465116
"Q2",73,0,0.602739726027397
"Q3",54,0,0.259259259259259
"Q4",40,12087,0.65
