margYMTH,n,landing,coverage
BDG,9,0,0
BRG,326,1535,0.230061349693252
CRS,50,0,0.38
ERK,323,0,0.374613003095975
MNT,108,0,0.175925925925926
MRO,138,0,0.710144927536232
OSF,29,0,0.275862068965517
HKL,110,0,0.827272727272727
NET,6,0,0
TWL,867,1535,0.28719723183391
1978,124,0,0.395161290322581
1979,102,1535,0.480392156862745
1980,271,0,0.276752767527675
1981,237,0,0.324894514767932
1982,249,0,0.36144578313253
Q1,162,0,0.296296296296296
Q2,289,0,0.321799307958477
Q3,340,0,0.435294117647059
Q4,192,1535,0.265625
