"marginalFLAG","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,0.806818181818182
"MRO",64,0,1
"OSF",52,20292,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,20292,0.91044776119403
"1978",57,0,1
"1980",61,0,1
"1981",42,0,1
"1982",50,20292,0.64
"Q1",43,0,1
"Q2",73,0,0.767123287671233
"Q3",54,20292,0.981481481481482
"Q4",40,0,1
