margPOP,n,landing,coverage
BDG,12,0,1
BRG,401,33285,0.992518703241895
CRS,60,19893,0.933333333333333
ERK,459,381729,0.956427015250545
MNT,163,0,1
MRO,164,0,1
OSF,36,0,1
HKL,124,0,1
NET,14,0,1
TWL,1157,434907,0.97666378565255
1978,124,1334,1
1979,102,61613,0.990196078431373
1980,271,13486,0.981549815498155
1981,237,1233,1
1982,249,261096,0.971887550200803
1983,312,96145,0.955128205128205
Q1,228,64792,0.982456140350877
Q2,390,36789,0.979487179487179
Q3,437,306423,0.967963386727689
Q4,240,26903,0.995833333333333
