"species","mad"
"STRK",3.69233887340801e-05
"BRWN",3.70710396931193e-05
"RDBD",3.73265694722487e-05
"EGLS",3.74067742112197e-05
"GSRK",3.78555997472091e-05
"GBLC",3.88524297298857e-05
"SNOS",3.9700006728244e-05
"SBLY",4.00973277484434e-05
"BLGL",4.05364099945374e-05
"ARRA",4.06450168891766e-05
"SSPN",4.07373675396496e-05
"LCOD",4.10389455605933e-05
"SABL",4.10783803173167e-05
"DBRK",4.29485985890007e-05
"OLVE",5.37611260746587e-05
"GSPT",5.56788433865384e-05
"BLUR",5.64971158400948e-05
"REX",6.07805492763609e-05
"BANK",6.2534185998343e-05
"SPKL",6.39463908641333e-05
"WDOW",6.41163267048048e-05
"KLPG",6.41621234603525e-05
"VRML",6.50864845240352e-05
"CNRY",6.54903588924967e-05
"PNKR",6.71810205741476e-05
"CLPR",6.8181385286857e-05
"CWCD",6.89604245451652e-05
"BCAC",7.44701202793259e-05
"YTRK",7.9469415311086e-05
"TIGR",8.06891943094224e-05
"FLAG",9.18067791700605e-05
