"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.777777777777778
"BRG",326,4401338,0.950920245398773
"CRS",50,570089,1
"ERK",323,2934116,0.959752321981424
"MNT",108,2426405,0.935185185185185
"MRO",138,1605793,0.876811594202899
"OSF",29,1665847,0.793103448275862
"HKL",110,906394,0.909090909090909
"NET",6,20053,1
"TWL",867,13367086,0.941176470588235
"1978",124,1320166,0.92741935483871
"1979",102,1408999,0.931372549019608
"1980",271,2700181,0.940959409594096
"1981",237,5193394,0.919831223628692
"1982",249,3670793,0.959839357429719
"Q1",162,3371850,0.919753086419753
"Q2",289,3877067,0.937716262975779
"Q3",340,4274305,0.935294117647059
"Q4",192,2770311,0.958333333333333
