margQLBK,n,landing,coverage
BDG,56,0,0.767857142857143
BRG,457,232,0.892778993435449
CRS,82,0,0.878048780487805
ERK,594,3180,0.897306397306397
MNT,344,0,0.651162790697674
MRO,266,0,0.958646616541353
OSF,104,0,0.980769230769231
HKL,138,3180,0.91304347826087
NET,47,0,0.808510638297872
TWL,1718,232,0.857392316647264
1978,124,232,0.846774193548387
1979,102,0,0.725490196078431
1980,271,0,0.881918819188192
1981,237,0,1
1982,249,0,0.867469879518072
1983,312,0,0.961538461538462
1984,277,3180,0.790613718411552
1985,331,0,0.746223564954683
Q1,339,232,0.864306784660767
Q2,531,0,0.843691148775895
Q3,645,3180,0.851162790697674
Q4,388,0,0.894329896907217
