margQLBK,n,landing,coverage
BDG,56,0,0
BRG,457,232,0.262582056892779
CRS,82,0,0.317073170731707
ERK,594,3180,0.178451178451178
MNT,344,0,0.206395348837209
MRO,266,0,0.172932330827068
OSF,104,0,0.240384615384615
HKL,138,3180,0.210144927536232
NET,47,0,0
TWL,1718,232,0.212456344586729
1978,124,232,0.129032258064516
1979,102,0,0.343137254901961
1980,271,0,0.132841328413284
1981,237,0,0.206751054852321
1982,249,0,0.156626506024096
1983,312,0,0.201923076923077
1984,277,3180,0.299638989169675
1985,331,0,0.220543806646526
Q1,339,232,0.206489675516224
Q2,531,0,0.205273069679849
Q3,645,3180,0.22015503875969
Q4,388,0,0.188144329896907
