margREX,n,landing,coverage
BRG,6,0,0
MNT,88,311,0.420454545454545
MRO,64,0,0.40625
OSF,52,0,0.5
HKL,1,0,0
NET,8,0,0.875
TWL,201,311,0.407960199004975
1978,57,311,0.578947368421053
1980,61,0,0.39344262295082
1981,42,0,0.619047619047619
1982,50,0,0.12
Q1,43,311,0.395348837209302
Q2,73,0,0.36986301369863
Q3,54,0,0.444444444444444
Q4,40,0,0.525
