margREX,n,landing,coverage
BRG,6,0,1
MNT,88,311,0.897727272727273
MRO,64,0,0.96875
OSF,52,0,1
HKL,1,0,1
NET,8,0,1
TWL,201,311,0.945273631840796
1978,57,311,0.842105263157895
1980,61,0,1
1981,42,0,1
1982,50,0,0.96
Q1,43,311,0.976744186046512
Q2,73,0,0.89041095890411
Q3,54,0,0.962962962962963
Q4,40,0,1
