margSABL,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,4753,0.409090909090909
MRO,64,0,0.015625
OSF,52,0,0.269230769230769
HKL,1,0,1
NET,8,0,0.25
TWL,201,4753,0.243781094527363
1978,57,4753,0.263157894736842
1980,61,0,0.180327868852459
1981,42,0,0.0476190476190476
1982,50,0,0.48
Q1,43,4753,0.302325581395349
Q2,73,0,0.315068493150685
Q3,54,0,0.259259259259259
Q4,40,0,0.05
