"marginalCNRY","n","landing","coverage"
"BDG",9,66834,0.888888888888889
"BRG",326,1975794,0.95398773006135
"CRS",50,1398777,0.74
"ERK",323,1577283,0.91640866873065
"MNT",108,20852,0.990740740740741
"MRO",138,100136,1
"OSF",29,7637,0.96551724137931
"HKL",110,132906,0.990909090909091
"NET",6,0,1
"TWL",867,5014407,0.934256055363322
"1978",124,1259855,0.903225806451613
"1979",102,626077,0.950980392156863
"1980",271,615166,0.92619926199262
"1981",237,1146147,0.974683544303797
"1982",249,1500068,0.939759036144578
"Q1",162,848186,0.975308641975309
"Q2",289,1937730,0.927335640138408
"Q3",340,1978133,0.914705882352941
"Q4",192,383264,0.979166666666667
