margBCAC,n,landing,coverage
BDG,9,689945,0.222222222222222
BRG,326,4401338,0.282208588957055
CRS,50,570089,0.48
ERK,323,2934116,0.48297213622291
MNT,108,2426405,0.166666666666667
MRO,138,1605793,0.318840579710145
OSF,29,1665847,0.379310344827586
HKL,110,906394,0.463636363636364
NET,6,20053,0.333333333333333
TWL,867,13367086,0.339100346020761
1978,124,1320166,0.282258064516129
1979,102,1408999,0.343137254901961
1980,271,2700181,0.361623616236162
1981,237,5193394,0.40506329113924
1982,249,3670793,0.333333333333333
Q1,162,3371850,0.444444444444444
Q2,289,3877067,0.404844290657439
Q3,340,4274305,0.288235294117647
Q4,192,2770311,0.3125
