margBCAC,n,landing,coverage
BDG,9,689945,0.333333333333333
BRG,326,4401338,0.757668711656442
CRS,50,570089,0.94
ERK,323,2934116,0.845201238390093
MNT,108,2426405,0.685185185185185
MRO,138,1605793,0.652173913043478
OSF,29,1665847,0.586206896551724
HKL,110,906394,0.772727272727273
NET,6,20053,0.666666666666667
TWL,867,13367086,0.763552479815456
1978,124,1320166,0.741935483870968
1979,102,1408999,0.774509803921569
1980,271,2700181,0.808118081180812
1981,237,5193394,0.755274261603376
1982,249,3670793,0.730923694779116
Q1,162,3371850,0.740740740740741
Q2,289,3877067,0.813148788927336
Q3,340,4274305,0.720588235294118
Q4,192,2770311,0.786458333333333
