margSBLY,n,landing,coverage
BDG,31,6313,0.516129032258065
BRG,420,387,0.704761904761905
CRS,73,0,0.780821917808219
ERK,533,0,0.684803001876173
MNT,249,1101,0.811244979919679
MRO,201,0,0.850746268656716
OSF,65,0,0.676923076923077
HKL,128,0,0.875
NET,24,0,0.625
TWL,1420,7801,0.72112676056338
1978,124,387,0.419354838709677
1979,102,0,0.598039215686274
1980,271,0,0.837638376383764
1981,237,0,0.742616033755274
1982,249,7213,0.558232931726908
1983,312,73,0.881410256410256
1984,277,128,0.797833935018051
Q1,277,128,0.667870036101083
Q2,441,6661,0.81859410430839
Q3,534,112,0.782771535580524
Q4,320,900,0.584375
