margSBLY,n,landing,coverage
BDG,9,6313,0.444444444444444
BRG,326,387,0.43558282208589
CRS,50,0,0.22
ERK,323,0,0.634674922600619
MNT,108,900,0.537037037037037
MRO,138,0,0.391304347826087
OSF,29,0,0.586206896551724
HKL,110,0,0.409090909090909
NET,6,0,0.833333333333333
TWL,867,7600,0.508650519031142
1978,124,387,0.451612903225806
1979,102,0,0.274509803921569
1980,271,0,0.446494464944649
1981,237,0,0.666666666666667
1982,249,7213,0.514056224899598
Q1,162,0,0.598765432098765
Q2,289,6588,0.529411764705882
Q3,340,112,0.482352941176471
Q4,192,900,0.401041666666667
