margSRKR,n,landing,coverage
BDG,31,0,0.032258064516129
BRG,420,8183,0.111904761904762
CRS,73,0,0.287671232876712
ERK,533,0,0.159474671669794
MNT,249,0,0.502008032128514
MRO,201,0,0.288557213930348
OSF,65,0,0.338461538461538
HKL,128,0,0.296875
NET,24,0,0.0416666666666667
TWL,1420,8183,0.225352112676056
1978,124,0,0.145161290322581
1979,102,0,0.107843137254902
1980,271,0,0.11070110701107
1981,237,0,0.367088607594937
1982,249,0,0.236947791164659
1983,312,8183,0.125
1984,277,0,0.415162454873646
Q1,277,0,0.418772563176895
Q2,441,0,0.102040816326531
Q3,534,0,0.200374531835206
Q4,320,8183,0.284375
