"marginalPOP","n","landing","coverage"
"BDG",27,0,0.333333333333333
"BRG",12,0,0.833333333333333
"CRS",3,0,1
"ERK",55,0,0.509090909090909
"MNT",11,0,0.909090909090909
"MRO",1,0,1
"OSF",20,0,0.9
"TWL",129,0,0.612403100775194
"1981",37,0,0.243243243243243
"1982",92,0,0.760869565217391
"Q1",33,0,0.636363636363636
"Q2",13,0,0.846153846153846
"Q3",37,0,0.945945945945946
"Q4",46,0,0.260869565217391
