margSTRK,n,landing,coverage
BDG,56,3842,1
BRG,457,143509,0.989059080962801
CRS,82,11753,0.951219512195122
ERK,594,103500,0.964646464646465
MNT,344,33025,0.982558139534884
MRO,266,170,1
OSF,104,5844,1
HKL,138,0,1
NET,47,0,1
TWL,1718,301643,0.979045401629802
1978,124,25258,0.975806451612903
1979,102,67002,0.970588235294118
1980,271,65546,0.977859778597786
1981,237,6271,1
1982,249,21885,0.963855421686747
1983,312,58745,0.958333333333333
1984,277,7045,0.996389891696751
1985,331,49891,0.996978851963746
Q1,339,32249,0.994100294985251
Q2,531,49334,0.975517890772128
Q3,645,130913,0.973643410852713
Q4,388,89147,0.989690721649485
