margGBLC,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.567484662576687
CRS,50,0,0.9
ERK,323,0,0.758513931888545
MNT,108,0,0.953703703703704
MRO,138,37006,0.579710144927536
OSF,29,0,0.482758620689655
HKL,110,37006,0.518181818181818
NET,6,0,1
TWL,867,0,0.707035755478662
1978,124,0,0.685483870967742
1979,102,372,0.647058823529412
1980,271,1328,0.527675276752767
1981,237,0,0.725738396624473
1982,249,35306,0.843373493975904
Q1,162,5688,0.654320987654321
Q2,289,58,0.833910034602076
Q3,340,30556,0.658823529411765
Q4,192,704,0.546875
