"marginalREDS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,4464,0.659509202453988
"CRS",50,0,0.92
"ERK",323,4155,0.811145510835913
"MNT",108,0,0.574074074074074
"MRO",138,0,0.753623188405797
"OSF",29,0,0.896551724137931
"HKL",110,0,0.709090909090909
"NET",6,0,0
"TWL",867,8619,0.739331026528258
"1978",124,0,0.274193548387097
"1979",102,0,0.862745098039216
"1980",271,3996,0.804428044280443
"1981",237,468,0.894514767932489
"1982",249,4155,0.670682730923695
"Q1",162,468,0.771604938271605
"Q2",289,7030,0.806228373702422
"Q3",340,0,0.670588235294118
"Q4",192,1121,0.692708333333333
