margVRML,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.897727272727273
MRO,64,56066,0.765625
OSF,52,21191,0.711538461538462
HKL,1,9249,0
NET,8,0,1
TWL,201,68008,0.810945273631841
1978,57,0,0.684210526315789
1980,61,77257,0.934426229508197
1981,42,0,0.833333333333333
1982,50,0,0.8
Q1,43,18759,0.418604651162791
Q2,73,46817,0.986301369863014
Q3,54,11681,0.87037037037037
Q4,40,0,0.85
