margSNOS,n,landing,coverage
BRG,6,0,1
MNT,88,71378,0.977272727272727
MRO,64,47808,1
OSF,52,158984,0.980769230769231
HKL,1,0,1
NET,8,0,1
TWL,201,278170,0.985074626865672
1978,57,50211,0.964912280701754
1980,61,168209,0.983606557377049
1981,42,21220,1
1982,50,38530,1
Q1,43,8320,1
Q2,73,40100,1
Q3,54,38026,0.962962962962963
Q4,40,191724,0.975
