margGRAS,n,landing,coverage
BDG,12,0,0
BRG,401,0,0.43640897755611
CRS,60,0,0.183333333333333
ERK,459,1251,0.187363834422658
MNT,163,0,0.214723926380368
MRO,164,0,0.189024390243902
OSF,36,0,0.277777777777778
HKL,124,0,0.161290322580645
NET,14,0,0
TWL,1157,1251,0.283491789109767
1978,124,0,0.169354838709677
1979,102,0,0.323529411764706
1980,271,0,0.376383763837638
1981,237,0,0.282700421940928
1982,249,1251,0.29718875502008
1983,312,0,0.163461538461538
Q1,228,0,0.350877192982456
Q2,390,1251,0.179487179487179
Q3,437,0,0.375286041189931
Q4,240,0,0.141666666666667
