margGRAS,n,landing,coverage
BDG,12,0,0.75
BRG,401,0,0.84788029925187
CRS,60,0,0.883333333333333
ERK,459,1251,0.875816993464052
MNT,163,0,0.94478527607362
MRO,164,0,0.774390243902439
OSF,36,0,0.833333333333333
HKL,124,0,0.75
NET,14,0,0.928571428571429
TWL,1157,1251,0.872082973206569
1978,124,0,0.693548387096774
1979,102,0,0.803921568627451
1980,271,0,0.977859778597786
1981,237,0,0.751054852320675
1982,249,1251,0.907630522088353
1983,312,0,0.891025641025641
Q1,228,0,0.87719298245614
Q2,390,1251,0.794871794871795
Q3,437,0,0.887871853546911
Q4,240,0,0.904166666666667
