margLSPN,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,432,0.53680981595092
CRS,50,0,0.56
ERK,323,0,0.334365325077399
MNT,108,0,0.277777777777778
MRO,138,0,0.731884057971015
OSF,29,0,0.482758620689655
HKL,110,0,0.8
NET,6,0,0.666666666666667
TWL,867,432,0.422145328719723
1978,124,163,0.637096774193548
1979,102,0,0.568627450980392
1980,271,269,0.339483394833948
1981,237,0,0.535864978902954
1982,249,0,0.409638554216867
Q1,162,0,0.475308641975309
Q2,289,0,0.391003460207612
Q3,340,269,0.594117647058824
Q4,192,163,0.34375
