"marginalGSRK","n","landing","coverage"
"BDG",27,0,0.333333333333333
"BRG",12,0,0.166666666666667
"CRS",3,0,1
"ERK",55,0,0.472727272727273
"MNT",11,0,1
"MRO",1,0,1
"OSF",20,0,0.35
"TWL",129,0,0.457364341085271
"1981",37,0,0.378378378378378
"1982",92,0,0.489130434782609
"Q1",33,0,0.606060606060606
"Q2",13,0,0.153846153846154
"Q3",37,0,0.297297297297297
"Q4",46,0,0.565217391304348
