margGBLC,n,landing,coverage
BDG,12,0,1
BRG,401,0,0.850374064837905
CRS,60,0,0.816666666666667
ERK,459,0,0.96078431372549
MNT,163,0,0.723926380368098
MRO,164,37006,0.810975609756098
OSF,36,0,1
HKL,124,37006,0.733870967741935
NET,14,0,0.857142857142857
TWL,1157,0,0.887640449438202
1978,124,0,0.467741935483871
1979,102,372,0.970588235294118
1980,271,1328,0.944649446494465
1981,237,0,0.805907172995781
1982,249,35306,0.879518072289157
1983,312,0,0.983974358974359
Q1,228,5688,0.890350877192982
Q2,390,58,0.930769230769231
Q3,437,30556,0.883295194508009
Q4,240,704,0.741666666666667
