"marginalSPKL","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,945,0.965909090909091
"MRO",64,30039,0.9375
"OSF",52,0,1
"HKL",1,0,1
"NET",8,904,0.75
"TWL",201,30080,0.970149253731343
"1978",57,945,0.947368421052632
"1980",61,0,0.983606557377049
"1981",42,30039,0.952380952380952
"1982",50,0,0.96
"Q1",43,9729,0.953488372093023
"Q2",73,415,0.986301369863014
"Q3",54,20840,0.907407407407407
"Q4",40,0,1
