margFLAG,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.874233128834356
CRS,50,1522,0.9
ERK,323,293,0.95046439628483
MNT,108,0,0.990740740740741
MRO,138,2013,0.927536231884058
OSF,29,0,1
HKL,110,1682,0.909090909090909
NET,6,0,1
TWL,867,2146,0.927335640138408
1978,124,0,0.67741935483871
1979,102,0,1
1980,271,331,0.996309963099631
1981,237,1742,0.877637130801688
1982,249,1755,0.987951807228916
Q1,162,526,0.944444444444444
Q2,289,1522,0.927335640138408
Q3,340,599,0.941176470588235
Q4,192,1181,0.880208333333333
