"marginalSLGR","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,0,0.819018404907976
"CRS",50,0,1
"ERK",323,1894,0.996904024767802
"MNT",108,0,0.898148148148148
"MRO",138,0,0.927536231884058
"OSF",29,0,0.931034482758621
"HKL",110,0,1
"NET",6,0,1
"TWL",867,1894,0.899653979238754
"1978",124,0,1
"1979",102,1894,0.970588235294118
"1980",271,0,0.96309963099631
"1981",237,0,0.835443037974684
"1982",249,0,0.859437751004016
"Q1",162,1894,0.888888888888889
"Q2",289,0,0.837370242214533
"Q3",340,0,0.973529411764706
"Q4",192,0,0.932291666666667
