margSBLY,n,landing,coverage
BDG,9,6313,0
BRG,326,387,0.736196319018405
CRS,50,0,0.28
ERK,323,0,0.594427244582043
MNT,108,900,0.425925925925926
MRO,138,0,0.579710144927536
OSF,29,0,0.517241379310345
HKL,110,0,0.5
NET,6,0,0.666666666666667
TWL,867,7600,0.608996539792388
1978,124,387,0.354838709677419
1979,102,0,0.813725490196078
1980,271,0,0.723247232472325
1981,237,0,0.535864978902954
1982,249,7213,0.550200803212851
Q1,162,0,0.765432098765432
Q2,289,6588,0.456747404844291
Q3,340,112,0.702941176470588
Q4,192,900,0.479166666666667
