margCWCD,n,landing,coverage
BDG,12,0,1
BRG,401,44030,0.99002493765586
CRS,60,0,1
ERK,459,0,1
MNT,163,9086,0.96319018404908
MRO,164,80654,0.926829268292683
OSF,36,6027,0.972222222222222
HKL,124,78600,0.919354838709677
NET,14,0,1
TWL,1157,61197,0.98876404494382
1978,124,0,1
1979,102,28859,0.970588235294118
1980,271,22193,0.981549815498155
1981,237,21283,0.983122362869198
1982,249,37889,0.983935742971888
1983,312,29573,0.977564102564103
Q1,228,10961,0.969298245614035
Q2,390,23284,0.987179487179487
Q3,437,104201,0.977116704805492
Q4,240,1351,0.995833333333333
