margARRA,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,674,0.863157894736842
MRO,77,6024,0.922077922077922
OSF,63,1155,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,236,7853,0.915254237288136
1978,57,0,0.807017543859649
1980,61,5257,0.967213114754098
1981,42,0,1
1982,50,1501,0.96
1983,18,0,1
1984,6,674,0.666666666666667
1985,11,421,0.727272727272727
Q1,55,2175,0.927272727272727
Q2,86,1576,0.953488372093023
Q3,59,0,0.813559322033898
Q4,45,4102,0.977777777777778
