margSBLY,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,3173,0.8
MRO,77,249,0.987012987012987
OSF,63,6694,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,236,10116,0.906779661016949
1978,57,3106,0.736842105263158
1980,61,6429,0.983606557377049
1981,42,249,0.976190476190476
1982,50,332,0.9
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,698,0.963636363636364
Q2,86,0,1
Q3,59,332,0.728813559322034
Q4,45,9086,0.911111111111111
