margSBLY,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,3173,0.957894736842105
MRO,77,249,0.987012987012987
OSF,63,6694,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,236,10116,0.970338983050847
1978,57,3106,0.929824561403509
1980,61,6429,0.983606557377049
1981,42,249,0.976190476190476
1982,50,332,0.98
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,698,0.963636363636364
Q2,86,0,1
Q3,59,332,0.983050847457627
Q4,45,9086,0.911111111111111
