margYMTH,n,landing,coverage
BDG,9,0,0
BRG,326,1535,0.300613496932515
CRS,50,0,0.5
ERK,323,0,0.253869969040248
MNT,108,0,0.342592592592593
MRO,138,0,0.326086956521739
OSF,29,0,0.310344827586207
HKL,110,0,0.3
NET,6,0,0.166666666666667
TWL,867,1535,0.302191464821223
1978,124,0,0.153225806451613
1979,102,1535,0.166666666666667
1980,271,0,0.44280442804428
1981,237,0,0.40506329113924
1982,249,0,0.176706827309237
Q1,162,0,0.234567901234568
Q2,289,0,0.391003460207612
Q3,340,0,0.311764705882353
Q4,192,1535,0.203125
